epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,583.558,1.29988,1.89104,1.74544,0.00714,0.90587,0.56891,0.58158,0.5725,0.36445,0.58587,0.55657,0.56787,0.29963,1.33908,1.75198,1.64881,0.00708,0,0.0015908,0.0015908,0.0015908
64,592.436,1.32703,1.80648,1.85306,0.00902,0.76226,0.64274,0.53158,0.57174,0.3605,0.60626,0.54211,0.56629,0.30274,1.36003,1.7619,1.81969,0.00709,0,0.0015842,0.0015842,0.0015842
65,601.621,1.3083,1.60833,1.64997,0.0078,0.81897,0.63309,0.53553,0.57874,0.36436,0.63211,0.53421,0.57483,0.31745,1.36811,1.75369,1.82266,0.00725,0,0.0015776,0.0015776,0.0015776
66,610.546,1.28399,1.70412,1.64898,0.00821,0.79983,0.56219,0.58967,0.56593,0.34674,0.5736,0.59342,0.57466,0.30736,1.39551,1.75822,1.80152,0.00741,0,0.001571,0.001571,0.001571
67,619.511,1.3254,1.75774,1.84262,0.00832,0.73351,0.5628,0.55526,0.55073,0.33879,0.57216,0.57763,0.56832,0.29079,1.3892,1.74043,1.71111,0.00701,0,0.0015644,0.0015644,0.0015644
68,628.692,1.26371,1.70156,1.57246,0.00675,0.79676,0.56886,0.56184,0.54561,0.33921,0.55623,0.575,0.54771,0.27693,1.36634,1.74899,1.64658,0.00676,0,0.0015578,0.0015578,0.0015578
69,637.568,1.31179,1.70896,1.56255,0.0074,0.75407,0.56349,0.60789,0.5662,0.34875,0.56727,0.60789,0.56144,0.29261,1.35843,1.74241,1.55658,0.00673,0,0.0015512,0.0015512,0.0015512
70,647.042,1.37335,1.79115,1.60026,0.00757,0.83318,0.5873,0.61604,0.5843,0.36091,0.59514,0.61184,0.59351,0.31783,1.40969,1.75295,1.55902,0.00738,0,0.0015446,0.0015446,0.0015446
71,656.177,1.28359,1.74891,1.69269,0.00751,0.83156,0.58108,0.55848,0.54507,0.32107,0.59431,0.55921,0.55516,0.28758,1.39764,1.8013,1.7859,0.00727,0,0.001538,0.001538,0.001538
72,665.392,1.30894,1.77426,1.43986,0.00599,0.78355,0.57784,0.57895,0.56446,0.34338,0.59309,0.56384,0.56518,0.28649,1.35644,1.76794,1.73912,0.00723,0,0.0015314,0.0015314,0.0015314
