epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,201.154,1.60544,2.13826,2.03047,0.00511,0.68565,0.53845,0.42322,0.44523,0.22105,0.44077,0.36909,0.34545,0.15038,1.82601,2.21489,1.7566,0.00475,0,0.0015182,0.0015182,0.0015182
75,203.835,1.72412,2.21421,1.68173,0.00371,0.78516,0.53845,0.42322,0.44523,0.22105,0.44077,0.36909,0.34545,0.15038,1.82601,2.21489,1.7566,0.00475,0,0.0015116,0.0015116,0.0015116
76,206.555,1.67042,2.08732,1.77655,0.0038,0.70951,0.53845,0.42322,0.44523,0.22105,0.44077,0.36909,0.34545,0.15038,1.82601,2.21489,1.7566,0.00475,0,0.001505,0.001505,0.001505
77,209.063,1.45365,1.9773,2.0432,0.00471,0.59219,0.53845,0.42322,0.44523,0.22105,0.44077,0.36909,0.34545,0.15038,1.82601,2.21489,1.7566,0.00475,0,0.0014984,0.0014984,0.0014984
78,211.788,1.54605,1.86737,1.83726,0.00482,0.72352,0.50886,0.43218,0.44553,0.23207,0.48065,0.33754,0.34441,0.15071,1.78137,2.30539,1.75045,0.0044,0,0.0014918,0.0014918,0.0014918
79,214.514,1.49882,1.87324,1.95623,0.00466,0.73184,0.50886,0.43218,0.44553,0.23207,0.48065,0.33754,0.34441,0.15071,1.78137,2.30539,1.75045,0.0044,0,0.0014852,0.0014852,0.0014852
80,217.294,1.71348,2.04568,1.89588,0.00409,0.61923,0.50886,0.43218,0.44553,0.23207,0.48065,0.33754,0.34441,0.15071,1.78137,2.30539,1.75045,0.0044,0,0.0014786,0.0014786,0.0014786
81,220.376,1.71147,2.02169,1.57605,0.0033,0.80898,0.50886,0.43218,0.44553,0.23207,0.48065,0.33754,0.34441,0.15071,1.78137,2.30539,1.75045,0.0044,0,0.001472,0.001472,0.001472
82,223.206,1.59942,1.97558,1.68554,0.0037,0.71396,0.536,0.43001,0.44931,0.24267,0.4742,0.35647,0.35722,0.1589,1.74477,2.04605,1.71424,0.00454,0,0.0014654,0.0014654,0.0014654
83,226.105,1.74538,2.10409,1.73169,0.00385,0.70038,0.536,0.43001,0.44931,0.24267,0.4742,0.35647,0.35722,0.1589,1.74477,2.04605,1.71424,0.00454,0,0.0014588,0.0014588,0.0014588
84,229.161,1.99638,2.26226,1.70066,0.00311,0.72947,0.536,0.43001,0.44931,0.24267,0.4742,0.35647,0.35722,0.1589,1.74477,2.04605,1.71424,0.00454,0,0.0014522,0.0014522,0.0014522
85,232.02,1.6223,2.01257,1.54877,0.00342,0.62765,0.536,0.43001,0.44931,0.24267,0.4742,0.35647,0.35722,0.1589,1.74477,2.04605,1.71424,0.00454,0,0.0014456,0.0014456,0.0014456
86,234.434,1.54587,2.08728,1.86912,0.00479,0.71441,0.56093,0.44795,0.46349,0.24434,0.50248,0.39748,0.39515,0.17569,1.74489,2.02986,1.64677,0.00445,0,0.001439,0.001439,0.001439
87,237.321,1.70682,2.03925,1.61175,0.00302,0.74445,0.56093,0.44795,0.46349,0.24434,0.50248,0.39748,0.39515,0.17569,1.74489,2.02986,1.64677,0.00445,0,0.0014324,0.0014324,0.0014324
88,239.768,1.55969,1.97375,1.74427,0.00412,0.60087,0.56093,0.44795,0.46349,0.24434,0.50248,0.39748,0.39515,0.17569,1.74489,2.02986,1.64677,0.00445,0,0.0014258,0.0014258,0.0014258
89,242.043,1.2971,1.67487,1.99901,0.00545,0.71584,0.56093,0.44795,0.46349,0.24434,0.50248,0.39748,0.39515,0.17569,1.74489,2.02986,1.64677,0.00445,0,0.0014192,0.0014192,0.0014192
90,245.009,1.82646,2.20039,1.69789,0.00349,0.6845,0.54283,0.44949,0.46536,0.2424,0.43989,0.36278,0.33458,0.15429,1.71322,2.06846,1.6478,0.00431,0,0.0014126,0.0014126,0.0014126
91,247.66,1.56085,2.04483,1.88107,0.00453,0.72773,0.54283,0.44949,0.46536,0.2424,0.43989,0.36278,0.33458,0.15429,1.71322,2.06846,1.6478,0.00431,0,0.001406,0.001406,0.001406
92,250.261,1.47587,1.68064,1.59423,0.00365,0.6073,0.54283,0.44949,0.46536,0.2424,0.43989,0.36278,0.33458,0.15429,1.71322,2.06846,1.6478,0.00431,0,0.0013994,0.0013994,0.0013994
93,252.793,1.42654,1.86651,1.8795,0.00507,0.69129,0.54283,0.44949,0.46536,0.2424,0.43989,0.36278,0.33458,0.15429,1.71322,2.06846,1.6478,0.00431,0,0.0013928,0.0013928,0.0013928
94,255.776,1.58913,1.93801,1.60365,0.00353,0.65736,0.53676,0.47003,0.47471,0.24474,0.42946,0.3817,0.33071,0.14792,1.72426,2.13242,1.64022,0.0047,0,0.0013862,0.0013862,0.0013862
95,258.405,1.5044,2.07044,1.88845,0.00417,0.68705,0.53676,0.47003,0.47471,0.24474,0.42946,0.3817,0.33071,0.14792,1.72426,2.13242,1.64022,0.0047,0,0.0013796,0.0013796,0.0013796
96,260.704,1.4443,1.99149,1.89832,0.00472,0.52866,0.53676,0.47003,0.47471,0.24474,0.42946,0.3817,0.33071,0.14792,1.72426,2.13242,1.64022,0.0047,0,0.001373,0.001373,0.001373
97,263.472,1.63376,2.11236,2.04306,0.00456,0.70674,0.53676,0.47003,0.47471,0.24474,0.42946,0.3817,0.33071,0.14792,1.72426,2.13242,1.64022,0.0047,0,0.0013664,0.0013664,0.0013664
98,266.198,1.63148,2.00361,1.75228,0.00402,0.6374,0.54179,0.42902,0.46246,0.24102,0.45927,0.38486,0.36716,0.16245,1.74259,2.07163,1.70373,0.0047,0,0.0013598,0.0013598,0.0013598
99,268.825,1.43986,1.87164,1.79463,0.00451,0.67642,0.54179,0.42902,0.46246,0.24102,0.45927,0.38486,0.36716,0.16245,1.74259,2.07163,1.70373,0.0047,0,0.0013532,0.0013532,0.0013532
100,271.615,1.56103,1.8424,1.63598,0.00369,0.65614,0.54179,0.42902,0.46246,0.24102,0.45927,0.38486,0.36716,0.16245,1.74259,2.07163,1.70373,0.0047,0,0.0013466,0.0013466,0.0013466
101,274.374,1.57224,1.89492,1.53315,0.00349,0.62933,0.54179,0.42902,0.46246,0.24102,0.45927,0.38486,0.36716,0.16245,1.74259,2.07163,1.70373,0.0047,0,0.00134,0.00134,0.00134
102,277.062,1.58995,2.04496,1.68643,0.00425,0.75081,0.52277,0.45741,0.46315,0.24951,0.46155,0.4164,0.39025,0.18468,1.71093,1.99331,1.64026,0.00425,0,0.0013334,0.0013334,0.0013334
103,279.735,1.50215,1.76843,1.6387,0.00419,0.6012,0.52277,0.45741,0.46315,0.24951,0.46155,0.4164,0.39025,0.18468,1.71093,1.99331,1.64026,0.00425,0,0.0013268,0.0013268,0.0013268
104,282.386,1.60907,2.02815,1.93594,0.00463,0.78745,0.52277,0.45741,0.46315,0.24951,0.46155,0.4164,0.39025,0.18468,1.71093,1.99331,1.64026,0.00425,0,0.0013202,0.0013202,0.0013202
105,284.776,1.42447,1.9028,1.71405,0.00421,0.59451,0.52277,0.45741,0.46315,0.24951,0.46155,0.4164,0.39025,0.18468,1.71093,1.99331,1.64026,0.00425,0,0.0013136,0.0013136,0.0013136
106,287.456,1.43602,1.80681,1.78109,0.00437,0.63026,0.52614,0.48265,0.4732,0.26141,0.46743,0.41254,0.39238,0.18154,1.68625,1.9817,1.58111,0.00419,0,0.001307,0.001307,0.001307
107,290.27,1.45431,1.70082,1.55945,0.00332,0.63401,0.52614,0.48265,0.4732,0.26141,0.46743,0.41254,0.39238,0.18154,1.68625,1.9817,1.58111,0.00419,0,0.0013004,0.0013004,0.0013004
108,292.918,1.43672,1.78424,1.59834,0.00379,0.63865,0.52614,0.48265,0.4732,0.26141,0.46743,0.41254,0.39238,0.18154,1.68625,1.9817,1.58111,0.00419,0,0.0012938,0.0012938,0.0012938
109,295.651,1.61707,1.91671,1.48029,0.00308,0.49455,0.52614,0.48265,0.4732,0.26141,0.46743,0.41254,0.39238,0.18154,1.68625,1.9817,1.58111,0.00419,0,0.0012872,0.0012872,0.0012872
110,298.265,1.41698,1.90239,1.55904,0.00388,0.64705,0.51465,0.50473,0.4853,0.26527,0.45288,0.44479,0.39755,0.17639,1.66948,1.98968,1.59228,0.00405,0,0.0012806,0.0012806,0.0012806
111,301.069,1.58779,1.80051,1.50623,0.00353,0.57803,0.51465,0.50473,0.4853,0.26527,0.45288,0.44479,0.39755,0.17639,1.66948,1.98968,1.59228,0.00405,0,0.001274,0.001274,0.001274
112,303.946,1.4802,1.80669,1.44981,0.00373,0.67035,0.51465,0.50473,0.4853,0.26527,0.45288,0.44479,0.39755,0.17639,1.66948,1.98968,1.59228,0.00405,0,0.0012674,0.0012674,0.0012674
113,306.484,1.43712,1.72485,1.37,0.00319,0.51239,0.51465,0.50473,0.4853,0.26527,0.45288,0.44479,0.39755,0.17639,1.66948,1.98968,1.59228,0.00405,0,0.0012608,0.0012608,0.0012608
114,309.093,1.36963,1.74564,1.58286,0.00442,0.58068,0.5229,0.52208,0.49914,0.27132,0.45137,0.4511,0.38635,0.17357,1.65947,2.00164,1.62018,0.00405,0,0.0012542,0.0012542,0.0012542
115,311.925,1.49167,1.7786,1.3813,0.0031,0.5891,0.5229,0.52208,0.49914,0.27132,0.45137,0.4511,0.38635,0.17357,1.65947,2.00164,1.62018,0.00405,0,0.0012476,0.0012476,0.0012476
116,314.807,1.68602,1.98295,1.49813,0.00323,0.60326,0.5229,0.52208,0.49914,0.27132,0.45137,0.4511,0.38635,0.17357,1.65947,2.00164,1.62018,0.00405,0,0.001241,0.001241,0.001241
117,317.245,1.47534,1.85669,1.54774,0.0037,0.65404,0.5229,0.52208,0.49914,0.27132,0.45137,0.4511,0.38635,0.17357,1.65947,2.00164,1.62018,0.00405,0,0.0012344,0.0012344,0.0012344
118,319.599,1.2887,1.76847,1.63845,0.00407,0.52132,0.60586,0.46067,0.52479,0.28571,0.48875,0.44164,0.41914,0.18856,1.66498,1.9922,1.58035,0.00409,0,0.0012278,0.0012278,0.0012278
